Cust_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Number_of_Referrals,,Offer,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
1963-VAUKV,Female,31,No,0,Kyburz,95720,0,1,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,No,Mailed Check,20.4,20.4,0,0,42.52,Churned,Price,Long distance charges
1964-SVLEA,Male,59,No,0,Upland,91786,0,20,Offer D,Yes,No,No,,,,,,,,,,One Year,Yes,Mailed Check,-1,415.9,0,0,1018.5,Stayed,,
1965-AKTSX,Female,65,No,0,Byron,94514,0,14,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.95,1101.85,0,0,1330.89,Churned,Competitor,Competitor made better offer
1965-DDBWU,Male,37,No,0,Escondido,92027,0,16,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,89.05,1448.6,0,0,1639.96,Churned,Competitor,Competitor made better offer
1970-KKFWL,Female,38,No,0,Rescue,95672,0,35,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Bank Withdrawal,23.3,797.1,0,0,1025.3,Stayed,,
1971-DTCZB,Female,52,Yes,0,Yreka,96097,6,72,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,90.95,6468.6,0,0,9538.68,Stayed,,
1972-XMUWV,Female,46,Yes,0,Miramonte,93641,7,65,None,Yes,No,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,59.8,3808.2,0,0,4473.15,Stayed,,
1976-AZZPJ,Male,47,Yes,0,Concord,94520,3,7,Offer E,No,,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,34.2,256.6,0,0,256.6,Stayed,,
1976-CFOCS,Female,69,Yes,0,Dana Point,92629,1,1,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,46,46,0,0,53.74,Churned,Competitor,Competitor had better devices
1977-STDKI,Female,72,No,0,The Sea Ranch,95497,0,1,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73,73,0,0,93.55,Churned,Competitor,Competitor offered more data
1980-KXVPM,Female,68,No,0,El Centro,92243,0,3,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.05,256.25,0,0,327.71,Churned,Competitor,Competitor had better devices
1981-INRFU,Female,44,No,0,San Diego,92109,0,2,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.75,164.5,0,0,181.14,Churned,Competitor,Competitor made better offer
1982-FEBTD,Female,27,Yes,2,Newport Beach,92660,1,23,None,Yes,Yes,No,,,,,,,,,,Two Year,Yes,Credit Card,25.6,514.75,0,0,1102.17,Stayed,,
1984-FCOWB,Female,21,Yes,0,Templeton,93465,1,70,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,109.5,7674.55,0,150,10756.15,Churned,Attitude,Attitude of service provider
1984-GPTEH,Female,47,No,0,Burbank,91506,0,29,None,Yes,Yes,No,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,25.15,702,0,0,833.37,Stayed,,
1985-MBRYP,Female,44,No,0,Arnold,95223,0,43,Offer B,Yes,No,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,19.65,779.25,0,0,1067.78,Stayed,,
1986-PHGZF,Male,73,No,0,Greenwood,95635,0,18,Offer D,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,58.4,964.9,0,0,1817.02,Stayed,,
1987-AUELQ,Female,46,Yes,0,Los Angeles,90018,0,71,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.05,1873.7,0,0,5057.34,Stayed,,
1989-PRJHP,Male,75,Yes,0,Pleasanton,94588,1,27,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0,0,2180.15,Churned,Competitor,Competitor had better devices
1991-VOPLL,Female,45,No,0,San Marcos,92069,0,9,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.05,157.65,0,0,439.17,Stayed,,
1996-DBMUS,Female,72,Yes,0,Palo Verde,92266,10,48,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,70.65,3545.05,0,0,4149.85,Stayed,,
1998-VHJHK,Female,36,No,0,Santa Barbara,93101,0,27,None,Yes,No,No,,,,,,,,,,One Year,No,Credit Card,19.15,501.35,0,0,1046.21,Stayed,,
2000-DHJUY,Female,67,Yes,0,Menlo Park,94025,1,70,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,92.2,6474.45,0,0,7781.35,Stayed,,
2000-MPKCA,Female,51,No,0,San Pedro,90732,0,58,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.75,6332.75,0,0,9041.35,Stayed,,
2001-EWBQU,Female,23,No,0,Stockton,95210,0,60,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,104.7,6333.8,0,150,8612,Stayed,,
2001-MCUUW,Male,51,No,0,Corona,92879,0,46,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,108.65,4903.2,0,0,6628.2,Stayed,,
2002-MZHWP,Female,24,No,0,Delhi,95315,0,1,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.5,20.5,0,0,46.62,Churned,Price,Long distance charges
2003-CKLOR,Male,62,No,0,Igo,96047,0,66,Offer A,Yes,No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,99.5,6710.5,0,0,8414.62,Churned,Other,Moved
2004-OCQXK,Female,44,No,0,Merced,95348,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.95,81.95,0,0,126.89,Churned,Competitor,Competitor had better devices
2005-DWQZJ,Female,26,Yes,1,Stevenson Ranch,91381,1,8,None,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,19.05,201.7,0,0,543.06,Stayed,,
2007-QVGAW,Female,51,Yes,1,Cypress,90630,10,68,Offer A,Yes,No,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,19.35,1292.65,0,0,4462.13,Stayed,,
2011-TRQYE,Male,59,No,0,Deer Park,94576,0,18,Offer D,No,,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,33.5,600,0,0,600,Churned,Dissatisfaction,Product dissatisfaction
2012-NWRPA,Female,78,Yes,0,Modesto,95355,1,11,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.55,1131.2,0,0,1145.28,Churned,Competitor,Competitor made better offer
2013-SGDXK,Female,27,No,0,Mariposa,95338,0,1,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,84.3,84.3,0,10,95.93,Churned,Competitor,Competitor offered more data
2014-MKGMH,Female,45,No,0,Riverside,92508,0,46,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,101.1,4674.4,0,0,5961.02,Stayed,,
2017-CCBLH,Female,55,No,0,Weott,95571,0,8,None,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,20,141.6,0,0,329.28,Stayed,,
2018-PZKMU,Male,32,Yes,3,Santa Ana,92701,10,9,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,103.1,970.45,18.62,0,1351.16,Stayed,,
2018-QKYGT,Male,19,Yes,3,San Gabriel,91775,1,1,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,81.05,0,0,117.37,Joined,,
2019-HDCZY,Male,35,Yes,0,Farmersville,93223,4,63,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,102.6,6296.75,0,0,6468.11,Stayed,,
2023-VQFDL,Male,42,No,0,Riverside,92506,0,18,Offer D,Yes,No,No,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19,348.8,0,0,945.68,Stayed,,
2024-BASKD,Female,23,No,0,Exeter,93221,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.6,74.6,0,10,106.76,Churned,Competitor,Competitor offered more data
2025-JKFWI,Male,31,No,0,Burbank,91501,0,13,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99,1301.7,0,0,1615.52,Churned,Price,Lack of affordable download/upload speed
2026-TGDHM,Female,54,No,0,Cloverdale,95425,0,7,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79.3,523.15,0,10,667.62,Churned,Competitor,Competitor had better devices
2027-CWDNU,Male,45,Yes,3,Venice,90291,1,18,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1601.5,0,0,2106.22,Stayed,,
2027-DNKIV,Male,28,Yes,3,Spring Valley,91977,1,37,None,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,58.75,2203.1,0,0,3522.89,Stayed,,
2027-FECZV,Male,44,No,0,Bodfish,93205,0,12,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,106.7,1253.9,0,0,1556.18,Churned,Attitude,Attitude of support person
2027-OAQQC,Female,64,No,0,Aptos,95003,0,43,Offer B,No,,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.05,2076.2,20.29,0,2055.91,Churned,Competitor,Competitor offered more data
2027-WKXMW,Female,49,Yes,0,Montara,94037,10,63,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,108.75,6871.7,0,0,8155.01,Stayed,,
2030-BTZRO,Male,54,Yes,3,Northridge,91325,1,6,None,Yes,No,No,,,,,,,,,,Two Year,Yes,Credit Card,20.4,107.6,0,0,355.76,Stayed,,
2034-CGRHZ,Male,73,No,0,San Francisco,94104,0,24,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,102.95,2496.7,0,0,2574.22,Churned,Attitude,Attitude of support person
2034-GDRCN,Female,47,No,0,San Diego,92122,0,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.4,168.2,0,0,189.26,Churned,Other,Don't know
2037-SGXHH,Male,25,Yes,0,Campo Seco,95226,1,38,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,3624.3,0,0,5512.9,Churned,Other,Don't know
2037-XJFUP,Male,24,Yes,0,Temecula,92592,1,33,Offer C,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,95.8,3036.75,0,60,4476.15,Churned,Competitor,Competitor made better offer
2038-LLMLM,Female,35,No,0,El Centro,92243,0,48,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-4,4946.05,0,0,5450.05,Stayed,,
2038-OEQZH,Male,63,No,0,Menifee,92584,0,4,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,86.05,308.1,0,0,485.54,Stayed,,
2038-YSEZE,Female,48,No,0,Los Angeles,90046,0,29,Offer C,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,67.45,1801.1,0,0,2199.56,Stayed,,
2039-JONDJ,Male,50,No,0,Burbank,91504,0,27,None,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,55.45,1477.65,0,0,2025.48,Stayed,,
2040-LDIWQ,Male,51,Yes,0,Woodland Hills,91367,8,65,Offer B,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.2,5324.5,0,0,8026.55,Stayed,,
2040-OBMLJ,Male,24,No,0,Dunlap,93621,0,31,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,One Year,No,Credit Card,81.7,2548.65,0,0,3081.23,Stayed,,
2040-VZIKE,Female,56,Yes,0,Stevinson,95374,3,49,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,100.85,4847.35,0,0,7043.04,Stayed,,
2040-XBAVJ,Male,51,Yes,1,Malibu,90263,0,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,114.45,8100.55,0,0,9896.95,Stayed,,
2041-JIJCI,Female,37,No,0,Wendel,96136,0,5,None,Yes,Yes,Yes,Cable,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64,370.25,0,0,594.15,Stayed,,
2043-WVTQJ,Male,61,Yes,0,Westminster,92683,10,1,None,Yes,No,Yes,Cable,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,55.7,55.7,0,0,73.38,Joined,,
2045-BMBTJ,Female,80,No,0,South El Monte,91733,0,33,None,No,,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,59.45,1884.65,0,0,1884.65,Stayed,,
2049-BAFNW,Female,60,No,0,Vallejo,94592,0,1,Offer E,No,,Yes,DSL,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,35.9,35.9,0,0,35.9,Joined,,
2050-ONYDQ,Female,48,Yes,1,Montara,94037,7,65,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,26,1654.85,0,0,1846.6,Stayed,,
2054-PJOCK,Female,32,No,0,Corona,92881,0,60,None,Yes,Yes,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,80.55,4847.05,0,0,5813.65,Stayed,,
2055-BFOCC,Male,65,Yes,0,Likely,96116,1,63,None,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,84,5329.55,0,0,7890.5,Stayed,,
2055-PDADH,Female,71,No,0,Big Bend,96011,0,3,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.4,204.7,0,0,211.48,Churned,Other,Don't know
2055-SIFSS,Female,75,Yes,0,Westmorland,92281,5,55,None,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,51.65,2838.55,0,0,4462.7,Stayed,,
2056-EVGZL,Male,56,Yes,2,West Covina,91790,9,68,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,105.75,7322.5,0,0,7926.34,Stayed,,
2057-BOYKM,Female,70,Yes,0,Inglewood,90305,10,72,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,96.6,6827.5,0,0,8849.98,Stayed,,
2057-ZBLPD,Female,50,Yes,0,Los Gatos,95032,3,21,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.5,1808.7,0,0,2695.32,Churned,Competitor,Competitor offered more data
2058-DCJBE,Male,32,No,0,Los Angeles,90012,0,5,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.75,324.6,0,0,480.3,Churned,Competitor,Competitor had better devices
2061-VVFST,Female,57,Yes,0,Whittier,90606,1,37,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.5,805.2,0,0,2477.23,Stayed,,
2065-MMKGR,Female,47,No,0,Diamond Springs,95619,0,29,None,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,71,2080.1,0,0,3280.12,Stayed,,
2067-QYTCF,Female,41,Yes,0,Los Angeles,90057,4,64,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,111.15,6953.4,0,0,7503.8,Stayed,,
2068-WWXQZ,Male,61,No,0,Whittier,90604,0,46,Offer B,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,20.05,902,0,0,2293.5,Stayed,,
2070-FNEXE,Female,77,No,2,Pasadena,91107,0,7,Offer E,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,681.2,Churned,Price,Lack of affordable download/upload speed
2070-XYMFH,Female,66,No,0,Long Beach,90815,0,23,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,79.35,1835.3,15.41,0,2020.45,Stayed,,
2072-ZVJJX,Male,47,Yes,0,Sacramento,95818,5,68,Offer A,Yes,Yes,No,,,,,,,,,,Two Year,No,Bank Withdrawal,25.25,1728.2,0,0,3280.64,Stayed,,
2073-QBVBI,Female,59,Yes,0,Los Angeles,90077,10,41,None,No,,Yes,Cable,No,Yes,No,Yes,No,No,No,Yes,One Year,No,Credit Card,35.45,1391.65,0,0,1391.65,Stayed,,
2074-GKOWZ,Male,49,Yes,0,Novato,94947,1,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.55,185.55,0,0,203.27,Churned,Competitor,Competitor had better devices
2074-GUHPQ,Female,37,No,2,Albion,95410,0,17,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,92.7,1556.85,0,0,2403.11,Stayed,,
2075-PUEPR,Male,46,Yes,2,Newport Coast,92657,2,55,None,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,19.35,1153.25,0,0,2511.75,Stayed,,
2075-RMJIK,Female,54,Yes,3,Santa Ysabel,92070,3,5,None,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,49.4,232.55,0,10,477.85,Stayed,,
2077-DDHJK,Female,48,Yes,0,Goleta,93117,2,68,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,70.9,4911.35,49.37,0,6725.86,Stayed,,
2077-MPJQO,Male,80,Yes,0,Menlo Park,94025,2,7,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-10,533.05,0,0,682.64,Stayed,,
2079-FBMZK,Female,50,No,0,Antelope,95843,0,6,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,69.25,418.4,0,0,654.56,Churned,Competitor,Competitor made better offer
2080-CAZNM,Female,78,No,0,Burbank,91502,0,41,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.4,4133.95,0,0,4393.48,Stayed,,
2080-GKCWQ,Male,54,No,0,San Pablo,94806,0,2,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.95,151.75,0,0,159.27,Joined,,
2080-SRCDE,Female,21,No,1,Walnut,91789,0,1,Offer E,Yes,Yes,No,,,,,,,,,,Month-to-Month,No,Mailed Check,25.4,25.4,0,0,58.13,Joined,,
2081-KJSQF,Male,25,No,0,Isleton,95641,0,1,None,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Credit Card,20.25,20.25,0,0,63.21,Joined,,
2081-VEYEH,Male,42,No,0,Compton,90221,0,3,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,107.95,318.6,0,0,356.58,Joined,,
2082-CEFLT,Male,31,No,0,San Diego,92109,0,1,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.6,45.6,0,0,57.33,Churned,Competitor,Competitor made better offer
2082-OJVTK,Male,25,Yes,0,San Diego,92109,1,29,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,2698.35,0,0,2814.35,Churned,Competitor,Competitor made better offer
2085-BOJKI,Male,33,Yes,0,Long Beach,90822,1,17,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,96.65,1588.25,0,0,2078.36,Stayed,,
2085-JVGAD,Male,56,Yes,0,Ivanhoe,93235,3,37,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,20.35,697.65,45.07,0,732.13,Stayed,,
2087-QAREY,Female,60,Yes,0,Sequoia National Park,93262,1,22,Offer D,Yes,No,Yes,Cable,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,54.7,1178.75,0,0,2055.01,Stayed,,
2088-IEBAU,Female,63,No,0,Poway,92064,0,68,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,88.15,6148.45,36.29,0,7595.92,Stayed,,
2091-GPPIQ,Female,56,Yes,0,Yuba City,95991,10,72,Offer A,Yes,Yes,Yes,Cable,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,78.95,5730.15,0,0,7605.03,Stayed,,
2091-MJTFX,Female,57,Yes,2,Auburn,95602,1,30,None,No,,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,51.2,1561.5,0,0,1561.5,Churned,Dissatisfaction,Network reliability
2091-RFFBA,Female,70,No,0,Port Costa,94569,0,31,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,2217.15,0,0,2695.48,Churned,Attitude,Attitude of support person
2096-XOTMO,Female,40,Yes,3,Marysville,95901,10,16,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.35,275.9,33.24,0,447.78,Stayed,,
2097-YVPKN,Male,56,No,0,Healdsburg,95448,0,65,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.75,1654.75,41.74,0,1931.51,Stayed,,
2100-BDNSN,Female,39,Yes,0,Strawberry Valley,95981,1,5,None,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,67.95,350.3,0,20,444.8,Churned,Price,Price too high
2101-RANCD,Female,50,No,0,El Dorado Hills,95762,0,55,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.1,4144.9,0,0,4636.05,Stayed,,
2103-ZRXFN,Male,19,No,0,La Quinta,92253,0,1,None,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.75,50.75,0,0,75.41,Joined,,
2105-PHWON,Female,41,Yes,0,Navarro,95463,1,33,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,95,3008.15,0,60,3409.37,Stayed,,
2107-FBPTK,Female,80,No,0,Ramona,92065,0,30,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104.1,3121.1,0,0,4379,Stayed,,
2108-GLPQB,Male,49,Yes,0,Los Angeles,90025,7,25,Offer C,Yes,Yes,Yes,DSL,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,55.55,1405.3,0,0,1695.3,Stayed,,
2108-XWMPY,Male,29,No,0,Cabazon,92230,0,3,None,No,,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,35.45,106.85,0,0,106.85,Churned,Other,Moved
2108-YKQTY,Female,42,No,0,Santa Monica,90403,0,4,None,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.7,151.3,0,0,190.54,Churned,Other,Don't know
2111-DWYHN,Male,31,No,0,Aptos,95003,0,1,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,21.1,21.1,0,0,39.91,Joined,,
2114-MGINA,Female,57,No,0,Rio Vista,94571,0,14,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,89.8,1129.1,0,0,1273.3,Churned,Attitude,Attitude of support person
2115-BFTIW,Male,52,No,0,Clearlake Oaks,95423,0,25,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,70.95,1767.35,0,20,2410.1,Churned,Dissatisfaction,Product dissatisfaction
2120-SMPEX,Male,43,No,0,Santa Rosa,95403,0,25,Offer C,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Mailed Check,20.15,536.35,0,0,977.35,Stayed,,
2121-JAFOM,Female,23,Yes,0,Danville,94526,1,72,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,115.55,8312.4,0,0,8432.64,Stayed,,
